FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba1.0O3,ITO,1,1,1,4.1448655,0.56210989,0.51485169,0.51723069,4831.3003,1483.0566,360.90744,30.463192,35.388702,45.446358000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,2,1,2,4.1448269,0.55798852,0.51711518,0.55879885,4944.811,1477.6189,327.66058,30.463482,35.384052000000004,45.484131,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,3,1,3,4.144515,0.55953521,0.52628851,,4904.7134,1488.9293,,30.46583,35.39056,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,4,1,4,4.144907,0.55311519,0.52894747,,4968.9434,1445.5398,,30.462878999999997,35.383571999999994,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,5,1,5,4.1448975,0.55991077,0.5200842000000001,,4882.1758,1470.1693,,30.462952,35.393852,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,6,1,6,4.1450324,0.5534538,0.5107497000000001,,4967.689,1442.2097,,30.461934999999997,35.389256,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,7,1,7,4.1449366,0.55535769,0.49913257,0.47094885,4904.4697,1490.8359,379.34802,30.462656,35.383205,45.462177000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,8,1,8,4.145205000000001,0.5557791,0.52190655,,4932.3296,1433.1660000000002,,30.460634000000002,35.392193,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,9,1,9,4.1453981,0.55876756,0.53110683,,4854.6431,1469.0233,,30.459181,35.385887,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,10,1,10,4.1447635,0.56116891,0.49888504,0.49122953,4851.7456,1441.5133,385.68167,30.463959000000003,35.389934999999994,45.47226,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,11,1,11,4.1459169000000005,0.5462541,0.51987422,0.51554817,4873.6387,1465.6841,382.30127000000005,30.455278000000003,35.381195,45.453762,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,12,2,1,4.1439281,0.5527091,0.51390594,0.49093518,4924.7666,1426.3059,358.38965,30.470251,35.390282,45.482422,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,13,2,2,4.1441083,0.55725616,0.50659442,,4934.9399,1503.2793,,30.468892999999998,35.388915999999995,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,14,2,3,4.1438413,0.55379456,0.51093805,,4930.106,1474.9794,,30.470903000000003,35.399544,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,15,2,4,4.1445904,0.55424958,0.51158893,,4855.8535,1434.1968,,30.465260999999998,35.3909,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,16,2,5,4.1445189,0.55249828,0.53920352,0.52066624,4900.7241,1449.2594,360.63324,30.465803,35.397564,45.460926,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,17,2,6,4.1444697,0.5543920999999999,0.53260136,,4915.8735,1405.1779,,30.466171000000003,35.393879,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,18,2,7,4.1447878,0.5547331,0.51273221,,4886.9692,1427.8647,,30.463776,35.396328000000004,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,19,2,8,4.1452155,0.56057006,0.49700421,,4941.9634,1501.0096,,30.460558000000002,35.381316999999996,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,20,2,9,4.1453527999999995,0.55412447,0.50500429,,4937.4429,1431.2703,,30.459524,35.386253,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,21,2,10,4.1450043,0.55265015,0.52095073,,4941.3638,1507.7145,,30.462146999999998,35.381554,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,22,2,11,4.1456885,0.55684853,0.50436252,,4955.2271,1462.9701,,30.456996999999998,35.383293,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,23,3,1,4.1437974,0.54936779,0.49629804,,5062.4814,1459.9088,,30.471233,35.391758,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,24,3,2,4.1444472999999995,0.54788232,0.5049938,,4996.7251,1468.9932,,30.466339,35.390869,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,25,3,3,4.1441469,0.54484868,0.49975356,,4969.9189,1493.3219,,30.468601,35.395610999999995,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,26,3,4,4.1440668,0.54910022,0.50632584,0.53136766,4960.2192,1519.6816,324.64435,30.469206,35.390945,45.471306,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,27,3,5,4.1438775,0.55336136,0.50805229,0.47479379,4950.6377,1448.1061,409.15932999999995,30.470633000000003,35.392311,45.482006,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,28,3,6,4.1445704,0.54580998,0.51361716,,5012.541,1458.5638,,30.465414000000003,35.390606,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,29,3,7,4.1445913,0.54919505,0.51362628,0.47721803,4955.3447,1463.7461,339.27099999999996,30.465258000000002,35.385078,45.456348,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,30,3,8,4.144352,0.54887968,0.51591074,0.50576216,4953.3203,1445.9692,416.37125,30.467059999999996,35.389416,45.470745,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,31,3,9,4.1445026,0.54609108,0.53024763,,4975.2583,1460.1478,,30.465922999999997,35.389015,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,32,3,10,4.1448517,0.55328947,0.50797153,,4995.3179,1494.8438,,30.463295000000002,35.383720000000004,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,33,3,11,4.1446428,0.55034614,0.51416451,0.54610401,4953.623,1425.7498,383.62958,30.464869,35.379375,45.467117,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,34,4,1,4.1442881,0.54233533,0.48763633,,5052.1992,1514.5675,,30.467540999999997,35.392223,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,35,4,2,4.1441097000000005,0.5430463000000001,0.50063986,0.47264448,5054.9888,1520.3121,344.56198,30.468882,35.390578999999995,45.46006,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,36,4,3,4.1439419,0.54968172,0.51756126,,5006.8721,1492.668,,30.470146000000003,35.392277,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,37,4,4,4.1442366,0.54446203,0.5080753,,5017.3916,1459.4902,,30.467928000000004,35.388275,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,38,4,5,4.1444116,0.54815412,0.50654107,,4995.1616,1462.8147,,30.46661,35.387444,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,39,4,6,4.1449814,0.54697198,0.51016188,,4995.335,1469.1354,,30.462318,35.381648999999996,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,40,4,7,4.144876,0.55213892,0.50055635,,5029.2534,1434.8401,,30.463114,35.381541999999996,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,41,4,8,4.1446538,0.54917687,0.51226741,0.54501903,5000.1074,1489.7269,359.00417999999996,30.464787,35.388184,45.483292,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,42,4,9,4.1451101,0.54499012,0.49600202,0.55214459,5002.3633,1453.0144,353.94836000000004,30.461349,35.375267,45.478832000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,43,4,10,4.145310899999999,0.53997397,0.48898619,,5058.1377,1405.4968,,30.459840999999997,35.375816,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,ITO,44,4,11,4.145383799999999,0.54463398,0.50327319,,5000.8877,1476.2319,,30.459290000000003,35.376656,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
